Verwaltungsbezirk_Nr.;Name;Wahlberechtigte_insgesamt;Wähler/-innen;Wahlbeteiligung;Ungültige_Stimmen;Gültige_Stimmen;CDU;SPD;GRÜNE;AfD;DIE_LINKE;FDP;PIRATEN;Tierschutzpartei;NPD;Die_PARTEI;FAMILIE;FREIE_WÄHLER;Volksabstimmung;ÖDP;DKP;MLPD;BP;SGP;TIERSCHUTZ_hier!;Tierschutzallianz;Bündnis_C;BIG;BGE;DIE_DIREKTE!;DiEM25;III._Weg;Die_Grauen;DIE_RECHTE;DIE_VIOLETTEN;LIEBE;DIE_FRAUEN;Graue_Panther;LKR;MENSCHLICHE_WELT;NL;ÖkoLinX;Die_Humanisten;PARTEI_FÜR_DIE_TIERE;Gesundheitsforschung;Volt;
5366;Kreis_Euskirchen;151478;92833;61,28;0,96;99,04;33,46;16,26;18,22;9,56;3,34;8,41;0,63;1,8;0,15;1,85;0,81;0,68;0,18;0,47;0,02;0,01;0,06;0,01;0,31;0,16;0,1;0,06;0,08;0,05;0,2;0,02;0,21;0,05;0,09;0,12;0,12;0,26;0,11;0,07;0,04;0,04;0,13;0,29;0,16;0,46;99,05
5370;Kreis_Heinsberg;191077;112550;58,9;1,04;98,96;35,42;16,48;18,88;8,31;3,64;6,35;0,62;1,79;0,27;1,73;0,79;0,96;0,15;0,39;0,01;0,02;0,06;0,01;0,29;0,16;0,05;0,13;0,06;0,05;0,14;0,01;0,2;0,06;0,08;0,09;0,12;0,33;0,06;0,06;0,05;0,04;0,11;0,28;0,11;0,57;98,93
5374;Oberbergischer_Kreis;207897;126841;61,01;0,93;99,07;31,42;17,38;20,55;9,15;3,55;6,93;0,65;1,57;0,13;1,82;0,9;0,62;0,16;0,69;0,02;0,03;0,07;0,01;0,27;0,12;0,49;0,17;0,08;0,07;0,19;0,02;0,19;0,07;0,09;0,11;0,08;0,22;0,09;0,08;0,04;0,05;0,14;0,22;0,12;0,52;99,08
5378;Rheinisch-Bergischer_Kreis;218103;148330;68,01;0,58;99,42;29,82;16,19;26;7,18;3,38;7,85;0,56;1,44;0,08;1,8;0,55;0,78;0,14;0,49;0,02;0,02;0,07;0,01;0,22;0,12;0,12;0,15;0,06;0,05;0,28;0,01;0,16;0,03;0,07;0,07;0,07;0,18;0,13;0,07;0,05;0,04;0,15;0,18;0,12;0,7;99,41
5382;Rhein-Sieg-Kreis;455483;300253;65,92;0,75;99,25;29,87;16,12;24,02;8,06;3,55;7,47;0,73;1,61;0,13;2,09;0,62;0,66;0,29;0,55;0,02;0,02;0,07;0,01;0,23;0,13;0,15;0,22;0,07;0,05;0,27;0,01;0,19;0,04;0,09;0,08;0,09;0,21;0,14;0,08;0,06;0,06;0,17;0,2;0,12;0,71;99,26
5512;Kreisfreie_Stadt_Bottrop;87999;52298;59,43;0,95;99,05;24,06;24,6;17,15;12,21;4,09;5,78;0,71;1,83;0,19;2,16;0,72;0,5;0,12;1,25;0,44;0,1;0,05;0,01;0,32;0,11;0,03;0,36;0,05;0,07;0,16;0,01;0,22;0,07;0,06;0,08;0,12;0,2;0,07;0,09;0,04;0,03;0,13;0,25;0,17;0,44;99,05
5513;Kreisfreie_Stadt_Gelsenkirchen;172667;88496;51,25;0,96;99,04;19,44;25,42;15,48;16,27;4,55;5,17;0,64;2,5;0,31;2,61;0,78;0,79;0,15;0,28;0,06;0,29;0,07;0;0,32;0,18;0,08;1,14;0,08;0,07;0,12;0,03;0,24;0,12;0,07;0,09;0,13;0,28;0,07;0,1;0,03;0,06;0,16;0,29;0,17;0,39;99,03
5515;Kreisfreie_Stadt_Münster;234502;172718;73,65;0,38;99,62;24,31;14,31;36,45;3,99;4,96;5,67;0,62;0,9;0,04;3,21;0,28;0,42;0,05;0,94;0,04;0,03;0,04;0;0,09;0,08;0,07;0,11;0,06;0,03;0,48;0,01;0,09;0,02;0,04;0,05;0,08;0,1;0,09;0,04;0,06;0,13;0,22;0,1;0,07;1,37;99,65
5554;Kreis_Borken;278982;181446;65,04;0,55;99,45;41,31;16,04;20,52;5,39;2,51;6,78;0,53;0,97;0,1;1,47;0,73;0,59;0,09;0,35;0,02;0,01;0,04;0;0,15;0,09;0,05;0,06;0,03;0,05;0,14;0,01;0,14;0,02;0,05;0,06;0,09;0,15;0,05;0,06;0,04;0,03;0,12;0,12;0,11;0,39;99,46
5558;Kreis_Coesfeld;173128;120049;69,34;0,54;99,46;38,04;15,32;24;5,43;2,83;6,56;0,54;1;0,11;1,59;0,99;0,48;0,09;0,35;0,01;0,02;0,05;0;0,12;0,09;0,04;0,04;0,03;0,03;0,15;0,02;0,15;0,04;0,05;0,06;0,11;0,13;0,06;0,06;0,03;0,04;0,11;0,14;0,12;0,44;99,47
